timestamp,data_name,n_estimators,learning_rate,max_depth,num_leaves,reg_lambda,00_pre,00_rec,00_spe,00_f1,00_geo,00_iba,01_pre,01_rec,01_spe,01_f1,01_geo,01_iba,02_pre,02_rec,02_spe,02_f1,02_geo,02_iba,03_pre,03_rec,03_spe,03_f1,03_geo,03_iba,avg_pre,avg_rec,avg_spe,avg_f1,avg_geo,avg_iba,auc,ap
2024-07-12 18:30:31,hf_copula_base_100000,1000,0.001,5,31,0.0,0.917427993583932,0.9980274637736136,0.3490929081913139,0.956031976744186,0.5902578333097596,0.3710134693767653,0.6608315098468271,0.4778481012658228,0.9892121380846324,0.5546372819100092,0.6875268299730902,0.4485213146093117,0.7350427350427351,0.1391585760517799,0.9978445278820748,0.2340136054421769,0.3726373889200199,0.1269350286817346,0.8390804597701149,0.1282952548330404,0.9990298662601343,0.222560975609756,0.3580094848990208,0.1170105168637163,0.8961304726345739,0.9077333333333332,0.4274461070848224,0.8815497233944973,0.5765801840439366,0.354587922833933,,
2024-07-12 18:30:44,hf_copula_base_100000,1000,0.001,5,31,0.1,0.9175617240898312,0.9981033305515514,0.3501924134139637,0.9561393946000944,0.5912091120427382,0.3721745287427029,0.6594360086767896,0.4810126582278481,0.9890729398663696,0.556267154620311,0.6897511174230565,0.4515853005650856,0.7368421052631579,0.1359223300970873,0.9979140592407176,0.2295081967213114,0.3682917378500924,0.1239468514342111,0.8390804597701149,0.1282952548330404,0.9990298662601343,0.222560975609756,0.3580094848990208,0.1170105168637163,0.8962633230249082,0.9078,0.4284092787811854,0.8815271641759734,0.5773307801963736,0.3556141674397666,,
2024-07-12 18:30:58,hf_copula_base_100000,1000,0.001,5,31,1.0,0.9172476296709424,0.9981791973294896,0.3474436503573392,0.9560036330608538,0.5889066343920033,0.3693792501727896,0.6594360086767896,0.4810126582278481,0.9890729398663696,0.556267154620311,0.6897511174230565,0.4515853005650856,0.7431192660550459,0.1310679611650485,0.9980531219580032,0.2228335625859697,0.3616805051830233,0.1194715132404382,0.8372093023255814,0.1265377855887522,0.9990298662601343,0.2198473282442748,0.3555489094535162,0.1153854160188635,0.8961749575747799,0.9076,0.4259995784418464,0.8810299333696182,0.5749417957209684,0.3529118335587998,,
2024-07-12 18:31:14,hf_copula_base_100000,1000,0.001,10,31,0.0,0.9179870175193692,0.9977998634397998,0.354040681693238,0.9562309146430128,0.594358262200204,0.3760032929616902,0.6644144144144144,0.4667721518987341,0.9896297327394208,0.5483271375464683,0.6796555009221573,0.4377791560482258,0.7094017094017094,0.1343042071197411,0.9976359338061466,0.2258503401360544,0.3660419417006704,0.1224192059113444,0.7678571428571429,0.1511423550087873,0.9981983230545354,0.2525697503671072,0.3884199342364972,0.1380905080841744,0.8930145172352455,0.9077333333333332,0.4317713379600075,0.8822606756667926,0.5807335595463516,0.3591336266335749,,
2024-07-12 18:31:30,hf_copula_base_100000,1000,0.001,10,31,0.1,0.9179286761113824,0.9978757302177376,0.3534909290819131,0.956234096692112,0.5939192024029536,0.3754700496814587,0.6651685393258427,0.4683544303797468,0.9896297327394208,0.5496750232126277,0.6808064848134399,0.4393364913946135,0.717948717948718,0.1359223300970873,0.9977054651647892,0.2285714285714285,0.3682532438089264,0.1239237715651029,0.7706422018348624,0.1476274165202108,0.9982676183216688,0.247787610619469,0.3838901789426396,0.1348356428212508,0.893452807814294,0.9078,0.4312937453077921,0.8822509690979152,0.5803155147845136,0.3586691839336819,,
2024-07-12 18:31:46,hf_copula_base_100000,1000,0.001,10,31,1.0,0.9175502232142856,0.9979515969956756,0.3501924134139637,0.9560635243667552,0.5911641719710651,0.3721126473573739,0.6583710407239819,0.4604430379746835,0.989490534521158,0.5418994413407822,0.6749844648302029,0.4315004107317117,0.7008547008547008,0.1326860841423948,0.9975664024475038,0.2231292517006803,0.3638175086671553,0.1209153487212382,0.780952380952381,0.1441124780316344,0.9984062088559352,0.2433234421364985,0.3793188537897877,0.1315909760506939,0.892520673321011,0.9072666666666668,0.4283888925718941,0.8813799118488175,0.5772931187123993,0.3551417343521705,,
2024-07-12 18:31:50,hf_copula_base_150000,100,0.01,-1,31,0.0,0.9239099990663804,0.9975806451612904,0.3872180451127819,0.959333042508846,0.6215152671187593,0.4098583886838408,0.7272727272727273,0.4510385756676557,0.9920424403183024,0.5567765567765568,0.6689165936669776,0.4232422233172555,0.6901408450704225,0.1733490566037736,0.996951782745243,0.2770970782280867,0.4157170323890256,0.1585870950871134,0.7352941176470589,0.2184769038701623,0.997096640398175,0.3368623676612127,0.4667360997968058,0.2008809330954859,0.8995492059379879,0.9142222222222224,0.45908668635228,0.8933721662715846,0.6103787215660726,0.3935500357024223,,
2024-07-12 18:31:54,hf_copula_base_150000,100,0.01,-1,31,0.1,0.92347891004106,0.9975806451612904,0.3834586466165413,0.9591006008916456,0.6184908439778268,0.406022989644793,0.7272727272727273,0.4510385756676557,0.9920424403183024,0.5567765567765568,0.6689165936669776,0.4232422233172555,0.7044334975369458,0.1686320754716981,0.9972288934047664,0.2721217887725975,0.4100789899704575,0.1542306980200098,0.7352941176470589,0.2184769038701623,0.997096640398175,0.3368623676612127,0.4667360997968058,0.2008809330954859,0.8997077554059548,0.9140444444444444,0.4557821762933405,0.8929796912874284,0.6074993608955372,0.3900038782958618,,
2024-07-12 18:31:58,hf_copula_base_150000,100,0.01,-1,31,1.0,0.9227039627039628,0.9975806451612904,0.3766917293233082,0.9586824897069508,0.6130092808149546,0.3991121655369077,0.7253968253968254,0.4520276953511375,0.9919493694448324,0.5569774527726996,0.669618240025734,0.4241791157011511,0.6947368421052632,0.1556603773584905,0.9973212636246074,0.2543352601156069,0.394009396135997,0.1421771741232017,0.7347826086956522,0.2109862671660424,0.9971888105442648,0.3278370514064015,0.4586863250593812,0.1938519822416467,0.8985564676530353,0.9133333333333332,0.4498178396036792,0.8916283813019408,0.6018051505035825,0.3832476502959177,,
2024-07-12 18:32:02,hf_copula_base_150000,100,0.01,5,31,0.0,0.921794991155386,0.9980846774193548,0.3684210526315789,0.9584240840230384,0.6063954217095381,0.390869109106094,0.7127496159754224,0.4589515331355094,0.9912978733305412,0.5583634175691938,0.6745055068411391,0.4307381732359227,0.708994708994709,0.1580188679245283,0.9974598189543692,0.2584378013500482,0.3970106691152951,0.1443864153830049,0.7696629213483146,0.1710362047440699,0.9981105120051617,0.2798774259448416,0.4131743383712537,0.1565937974641442,0.8989657777556231,0.9127555555555557,0.4425337013660952,0.8899100584847198,0.5946856856257232,0.3750306991031107,,
